region,district,district_short,type,type_short,name,latitude,longitude,is_district_shown
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Белозёрный,45.06944,38.72083,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Берёзовый,45.15,38.9925,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Восточный,45.18583,38.77417,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Дорожный,45.1175,39.35278,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Дружелюбный,45.12472,39.16167,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,станица,ст‑ца,Елизаветинская,45.04806,38.79278,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Зеленопольский,45.12194,39.17472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Знаменский,45.05333,39.14111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Индустриальный,45.09444,39.11139,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Колосистый,45.135,38.90472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Копанской,45.17056,38.80333,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,город,г.,Краснодар,45.03333,38.98333,0
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Краснодарский,45.08611,39.04417,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Краснолит,45.15194,38.84111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Лазурный,45.14389,39.08722,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Ленина,45.02333,39.21944,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Лорис,45.0875,39.12111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Новый,45.16083,38.80472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Октябрьский,45.17861,39.09083,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 2 СКЗНИИСиВ,45.15222,38.93556,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 3 ОПХ КНИИСХ,45.11389,38.91222,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 3 СКЗНИИСиВ,45.13278,38.96722,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,отделения № 4 совхоза «Пашковский»,45.01389,39.13361,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Плодородный,45.05833,39.05111,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Победитель,45.12306,39.09861,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Пригородный,45.07361,39.19472,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Разъезд,45.07333,39.2575,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,посёлок,п.,Российский,45.1142,39.0378,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,станица,ст‑ца,Старокорсунская,45.05306,39.31583,1
Краснодарский край,Муниципальное образование город Краснодар,г.о. г. Краснодар,хутор,х.,Черников,45.18528,38.8375,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,город,г.,Анапа,44.893857,37.317481,0
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,станица,ст‑ца,Благовещенская,45.05417,37.12778,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,село,с.,Витязево,44.984144,37.262859,1
Краснодарский край,Анапа (город краевого подчинения),гкп Анапа,хутор,х.,Чембурка,44.92917,37.34611,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,город,г.,Армавир,44.99464,41.12946,0
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Заветный,44.93333,41.13611,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Зуево,44.798301,41.187343,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Красин,44.863752,41.161633,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Красная Поляна,45.05444,41.10139,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Маяк,45.031961,40.941213,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,хутор,х.,Первомайский,44.8375,41.16222,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,станица,ст‑ца,Старая Станица,45.0125,41.14944,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Учебный,44.976127,41.043828,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы опытной станции ВНИИМК,44.988451,41.00405,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы совхоза «Восток»,45.006781,41.041366,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,центральной усадьбы совхоза «Юбилейный»,45.022692,41.12385,1
Краснодарский край,Муниципальное образование город Армавир,г.о. г. Армавир,посёлок,п.,Южный,45.022055,41.008686,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,город,г.,Белореченск,44.76667,39.86667,0
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Заречный,44.74944,39.8325,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Новый,44.72444,39.82472,1
Краснодарский край,Белореченск (город краевого подчинения),гкп Белореченск,посёлок,п.,Южный,44.729758,39.853802,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Адербиевка,44.60222,38.11667,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Архипо‑Осиповка,44.366077,38.534211,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Афонка,44.73333,37.925,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Береговое,44.418892,38.360875,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Бетта,44.374911,38.396375,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Виноградное,44.6375,38.00278,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Возрождение,44.55,38.21472,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,город,г.,Геленджик,44.560999,38.076949,0
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Джанхот,44.46452,38.15627,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Дивноморское,44.50083,38.13528,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Кабардинка,44.651384,37.938355,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Криница,44.385248,38.344288,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Марьина Роща,44.61861,38.02861,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Михайловский Перевал,44.51111,38.32139,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Прасковеевка,44.45083,38.21139,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Пшада,44.47222,38.39722,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,посёлок,п.,Светлый,44.54861,38.1425,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Текос,44.43889,38.46861,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,село,с.,Тешебс,44.37222,38.58889,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Широкая Пшадская Щель,44.49333,38.35222,1
Краснодарский край,Муниципальное образование город‑курорт Геленджик,г.о. г‑к. Геленджик,хутор,х.,Широкая Щель,44.56861,38.17361,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Бакинская,44.75,39.28333,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Безымянное,44.54983,39.1272,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Весёлый,44.503117,39.353917,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,город,г.,Горячий Ключ,44.633284,39.133287,0
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Домики,44.489332,39.393003,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Имеретинская,44.68333,39.43333,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Красный Восток,44.797693,39.464571,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кура‑Промысел,44.496006,39.372368,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кура‑Транспортный,44.50278,39.3625,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Кура‑Цеце,44.48556,39.33611,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Кутаис,44.51444,39.29667,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Кутаисская,44.64667,39.31222,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Мартанская,44.75917,39.43444,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Мирный,44.604983,39.001122,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Молькин,44.80417,39.23556,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Октябрьский,44.55572,39.211651,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Папоротный,44.691253,39.019798,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Первомайский,44.69167,39.30278,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Приреченский,44.750099,39.240837,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Промысловый,44.557435,39.30221,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Пятигорская,44.60611,39.03028,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Саратовская,44.70833,39.21667,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Северный,44.82667,39.21306,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Солёный,44.694297,39.265217,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,хутор,х.,Сорокин,44.736776,39.234576,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Суздальская,44.76278,39.37,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Транспортный,44.546624,39.289912,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Фанагорийское,44.51389,39.11028,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,село,с.,Хребтовое,44.54306,38.96056,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,станица,ст‑ца,Черноморская,44.70333,39.36389,1
Краснодарский край,Муниципальное образование город Горячий Ключ,г.о. г. Горячий Ключ,посёлок,п.,Широкая Балка,44.48593,39.413772,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Береговой,46.6625,38.11222,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Ближнеейский,46.66667,38.25417,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Большелугский,46.61667,38.24528,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,город,г.,Ейск,46.71056,38.27778,0
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Краснофлотский,46.64611,38.26333,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Морской,46.69083,38.20444,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Подбельский,46.6425,38.28917,1
Краснодарский край,Ейское городское поселение,г.п. Ейское,посёлок,п.,Широчанка,46.65833,38.33056,1
Краснодарский край,Кропоткин (город),г. Кропоткин,город,г.,Кропоткин,45.43333,40.56667,0
Краснодарский край,Крымск,Крымск,город,г.,Крымск,44.93333,38,0
Краснодарский край,Лабинское городское поселение,г.п. Лабинское,хутор,х.,Заря Мира,44.57889,40.77472,1
Краснодарский край,Лабинское городское поселение,г.п. Лабинское,город,г.,Лабинск,44.633338,40.733311,0
Краснодарский край,Лабинское городское поселение,г.п. Лабинское,посёлок,п.,Прохладный,44.71222,40.70083,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Абрау‑Дюрсо,44.70278,37.60194,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Большие Хутора,44.74861,37.6025,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Борисовка,44.76,37.69889,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Васильевка,44.73194,37.66694,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,посёлок,п.,Верхнебаканский,44.84139,37.66194,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Владимировка,44.78972,37.67444,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Гайдук,44.78361,37.69917,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Глебовское,44.71028,37.64222,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Горный,44.86694,37.74667,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Дюрсо,44.68534,37.564205,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Камчатка,44.70694,37.63028,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Кирилловка,44.77056,37.72917,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Ленинский Путь,44.86306,37.62667,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,посёлок,п.,Лесничество Абрау‑Дюрсо,44.725,37.55889,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Мысхако,44.65917,37.76306,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,станица,ст‑ца,Натухаевская,44.90583,37.56944,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,город,г.,Новороссийск,44.71667,37.76667,0
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Победа,44.88528,37.54083,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,станица,ст‑ца,Раевская,44.83861,37.55472,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Северная Озереевка,44.69667,37.63167,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Семигорский,44.88139,37.60667,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,хутор,х.,Убых,44.81667,37.63528,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Федотовка,44.67528,37.71111,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Широкая Балка,44.65361,37.70056,1
Краснодарский край,Муниципальное образование город Новороссийск,г.о. г. Новороссийск,село,с.,Южная Озереевка,44.67472,37.6325,1
Краснодарский край,Славянск‑на‑Кубани,Славянск‑на‑Кубани,город,г.,Славянск‑на‑Кубани,45.25861,38.12472,0
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,микрорайон,мк р‑н,Адлер,43.43361,39.91611,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,микрорайон,мк р‑н,Лазаревское,43.91323,39.332777,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,микрорайон,мк р‑н,Лоо,43.704557,39.587753,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Аибга,43.58611,40.19861,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Алексеевское,43.94306,39.38944,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Альтмец,43.721375,39.671004,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Ахштырь,43.51056,40.00167,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Барановка,43.709881,39.686811,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Барановка,43.64528,39.74611,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Беранда,43.77056,39.52472,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Бестужевское,43.4825,39.945,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Бзогу,43.81583,39.71361,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Богушёвка,43.59917,39.77722,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,аул,а.,Большой Кичмай,43.83472,39.51056,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Варваровка,43.692611,39.700667,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Вардане‑Верино,43.499091,39.942906,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Васильевка,43.663337,39.71636,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнеармянская Хобза,43.746179,39.600603,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнеармянское Лоо,43.73694,39.61833,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхневеселое,43.433701,39.970449,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнее Буу,43.757848,39.55743,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнее Учдере,43.700517,39.638171,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнениколаевское,43.515444,39.934507,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнерусское Лоо,43.7725,39.65111,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхнеякорная Щель,43.77972,39.51361,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верхний Юрт,43.63083,39.77639,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Верховское,43.624731,39.815534,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Весёлое,43.41861,40.0025,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Волковка,43.6875,39.66,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Волконка,43.86028,39.40083,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Воронцовка,43.620417,39.91805,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Высокое,43.46722,39.96917,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Галицыно,43.54306,39.97472,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Горное Лоо,43.7175,39.60611,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,пгт,пгт,Дагомыс,43.661295,39.654705,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Детляжка,43.760993,39.535592,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,посёлок,п.,Дубравный,43.51596,39.891981,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Ермоловка,43.50389,40.05,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Зубова Щель,43.83861,39.43944,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Измайловка,43.632244,39.824214,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Илларионовка,43.59588,39.893795,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Казачий Брод,43.51806,39.98917,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,аул,а.,Калеж,44.00917,39.35806,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Калиновое Озеро,43.616325,39.886061,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Каткова Щель,43.85861,39.41583,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Каштаны,43.524478,39.901018,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Кепша,43.616651,40.048917,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Краевско‑Армянское,43.60917,39.80917,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Красная Воля,43.560523,39.917188,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,пгт,пгт,Красная Поляна,43.679095,40.205537,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Лесное,43.57389,39.97333,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Липники,43.503564,39.969137,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,аул,а.,Лыготх,44.00389,39.36528,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,аул,а.,Малый Кичмай,43.82139,39.5,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Мамедова Щель,43.95877,39.325281,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Марьино,43.93889,39.47972,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Медовеевка,43.678204,40.085262,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Молдовка,43.45694,39.95806,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Монастырь,43.59167,40.005,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,аул,а.,Наджиго,44.05,39.2625,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Нижнее Учдере,43.686829,39.616099,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Нижняя Шиловка,43.44583,40.02306,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Ордынка,43.687468,39.687479,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Орёл‑Изумруд,43.467334,39.925506,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Отрадное,43.81306,39.61056,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Пластунка,43.66861,39.76222,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Прогресс,43.5924,39.832773,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Разбитый Котел,43.685447,39.72873,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Раздольное,43.59111,39.76778,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Русская Мамайка,43.648303,39.717609,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Семёновка,43.641884,39.85019,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Сергей‑Поле,43.66417,39.69639,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Солохаул,43.79917,39.67667,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,город,г.,Сочи,43.58528,39.72028,0
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Татьяновка,43.96028,39.41056,1
Краснодарский край,Муниципальное образование город‑курорт Сочи,г.о. г‑к. Сочи,село,с.,Третья Рота,43.74333,39.68056,1
